nom;Lien vers la source;Discipline;Date de naissance;Pays;Âge;Fonction;Taille (en cm);Genre;Site de compétition;Latitude;Longitude;Nombre de compétitions;Date de début;Date de fin;Jours de compétitions;Médailles d'or;Médailles d'argent;Médailles de bronze;Record
CHARLTON Devynne;https://olympics.com/fr/paris-2024/athlete/devynne-charlton_1908181;Athlétisme;26/11/95;Bahamas;28;Athlète;160;Femme;Stade de France;48.924475;2.360127;3;07/08/24;10/08/24;3;0;0;0;non
CHARNI Olfa;https://olympics.com/fr/paris-2024/athlete/olfa-charni_1909919;Tir;24/05/80;Tunisie;44;Athlète;;Femme;Centre national de tir de Châteauroux;46.8157;1.7582;1;27/07/24;27/07/24;1;0;0;0;non
CHARRON Maude;https://olympics.com/fr/paris-2024/athlete/maude-charron_1965815;Haltérophilie;28/04/93;Canada;31;Athlète;;Femme;Arena Paris Sud 6;48.829381;2.290865;1;08/08/24;08/08/24;1;0;1;0;non
CHARTER Andrew;https://olympics.com/fr/paris-2024/athlete/andrew-charter_1945286;Hockey;30/03/87;Australie;37;Athlète;;Homme;Stade Yves-du-Manoir;48.92934371;2.24777122;6;27/07/24;04/08/24;6;0;0;0;non
CHASTANET Maximilien;https://olympics.com/fr/paris-2024/athlete/maximilien-chastanet_1916217;Escrime;15/03/96;France;28;Athlète;;Homme;Grand Palais;48.86616355;2.3125474;3;04/08/24;04/08/24;1;0;0;1;non
CHATAIN Peter;https://olympics.com/fr/paris-2024/athlete/peter-chatain_1944646;Aviron;08/11/99;États-Unis d'Amérique;24;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;2;29/07/24;03/08/24;2;0;0;1;non
CHATEAUBRIAN Philipe;https://olympics.com/fr/paris-2024/athlete/philipe-chateaubrian_1960746;Tir;31/01/89;Brésil;35;Athlète;;Homme;Centre national de tir de Châteauroux;46.8157;1.7582;1;27/07/24;27/07/24;1;0;0;0;non
CHATFIELD Emelia;https://olympics.com/fr/paris-2024/athlete/emelia-chatfield_4849478;Athlétisme;23/11/01;Haïti;22;Athlète;175;Femme;Stade de France;48.924475;2.360127;2;07/08/24;08/08/24;2;0;0;0;non
CHAUDHARY Parul;https://olympics.com/fr/paris-2024/athlete/parul-chaudhary_1544471;Athlétisme;15/04/95;Inde;29;Athlète;162;Femme;Stade de France;48.924475;2.360127;2;02/08/24;04/08/24;2;0;0;0;non
CHAUHAN Maheshwari;https://olympics.com/fr/paris-2024/athlete/maheshwari-chauhan_1538146;Tir;04/07/96;Inde;28;Athlète;;Femme;Centre national de tir de Châteauroux;46.8157;1.7582;4;03/08/24;05/08/24;3;0;0;0;non
CHAUSSINAND Yann;https://olympics.com/fr/paris-2024/athlete/yann-chaussinand_1910672;Athlétisme;11/05/98;France;26;Athlète;196;Homme;Stade de France;48.924475;2.360127;2;02/08/24;04/08/24;2;0;0;0;non
CHEBET Beatrice;https://olympics.com/fr/paris-2024/athlete/beatrice-chebet_1910560;Athlétisme;05/03/00;Kenya;24;Athlète;152;Femme;Stade de France;48.924475;2.360127;3;02/08/24;09/08/24;3;2;0;0;non
CHEBET Esther;https://olympics.com/fr/paris-2024/athlete/esther-chebet_4648450;Athlétisme;09/10/97;Ouganda;26;Athlète;165;Femme;Stade de France;48.924475;2.360127;1;02/08/24;02/08/24;1;0;0;0;non
CHEBET Mercy;https://olympics.com/fr/paris-2024/athlete/mercy-chebet_1910399;Athlétisme;02/01/02;Kenya;22;Athlète;161;Femme;Stade de France;48.924475;2.360127;1;02/08/24;02/08/24;1;0;0;0;non
CHEEMA Arjun Singh;https://olympics.com/fr/paris-2024/athlete/arjun-singh-cheema_1539643;Tir;13/06/01;Inde;23;Athlète;;Homme;Centre national de tir de Châteauroux;46.8157;1.7582;2;27/07/24;29/07/24;2;0;0;0;non
CHEHEL AMIRANI Shermineh;https://olympics.com/fr/paris-2024/athlete/shermineh-chehel-amirani_1538442;Tir;20/06/99;République islamique d'Iran;25;Athlète;;Femme;Centre national de tir de Châteauroux;46.8157;1.7582;1;28/07/24;28/07/24;1;0;0;0;non
CHEKAN Vladyslav;https://olympics.com/fr/paris-2024/athlete/vladyslav-chekan_1897675;Pentathlon moderne;09/01/02;Ukraine;22;Athlète;;Homme;multisite;;;5;08/08/24;09/08/24;2;0;0;0;non
CHELANGAT Annet Chemengich;https://olympics.com/fr/paris-2024/athlete/annet-chemengich-chelangat_4983537;Athlétisme;29/07/93;Ouganda;31;Athlète;174;Femme;Stade de France;48.924475;2.360127;1;09/08/24;09/08/24;1;0;0;0;non
CHELANGAT Mercyline;https://olympics.com/fr/paris-2024/athlete/mercyline-chelangat_1548516;Athlétisme;17/12/97;Ouganda;26;Athlète;168;Femme;Invalides;48.85704803;2.312835932;1;11/08/24;11/08/24;1;0;0;0;non
CHELANGAT Sarah;https://olympics.com/fr/paris-2024/athlete/sarah-chelangat_1548527;Athlétisme;05/06/01;Ouganda;23;Athlète;161;Femme;Stade de France;48.924475;2.360127;1;09/08/24;09/08/24;1;0;0;0;non
CHELIMO Oscar;https://olympics.com/fr/paris-2024/athlete/oscar-chelimo_1980754;Athlétisme;12/12/01;Ouganda;22;Athlète;178;Homme;Stade de France;48.924475;2.360127;2;07/08/24;10/08/24;2;0;0;0;non
CHELIMO Rose;https://olympics.com/fr/paris-2024/athlete/rose-chelimo_1926111;Athlétisme;12/07/89;Bahreïn;35;Athlète;152;Femme;Invalides;48.85704803;2.312835932;1;11/08/24;11/08/24;1;0;0;0;non
CHEMUTAI Belinda;https://olympics.com/fr/paris-2024/athlete/belinda-chemutai_1984746;Athlétisme;30/04/00;Ouganda;24;Athlète;168;Femme;Stade de France;48.924475;2.360127;1;02/08/24;02/08/24;1;0;0;0;non
CHEMUTAI Leonard;https://olympics.com/fr/paris-2024/athlete/leonard-chemutai_1980789;Athlétisme;05/05/03;Ouganda;21;Athlète;164;Homme;Stade de France;48.924475;2.360127;2;05/08/24;07/08/24;2;0;0;0;non
CHEMUTAI Peruth;https://olympics.com/fr/paris-2024/athlete/peruth-chemutai_1971686;Athlétisme;10/07/99;Ouganda;25;Athlète;163;Femme;Stade de France;48.924475;2.360127;2;04/08/24;06/08/24;2;0;1;0;non
CHEN Haiwei;https://olympics.com/fr/paris-2024/athlete/haiwei-chen_1902467;Escrime;30/12/94;République populaire de Chine;29;Athlète;;Homme;Grand Palais;48.86616355;2.3125474;4;29/07/24;04/08/24;2;0;0;0;non
CHEN Jiapeng;https://olympics.com/fr/paris-2024/athlete/jiapeng-chen_1918954;Athlétisme;05/07/02;République populaire de Chine;22;Athlète;175;Homme;Stade de France;48.924475;2.360127;2;08/08/24;09/08/24;2;0;0;0;non
CHEN Jiexian Stephenie;https://olympics.com/fr/paris-2024/athlete/jiexian-stephenie-chen_1538662;Canoë-kayak sprint;25/12/91;Singapour;32;Athlète;;Femme;Stade nautique de Vaires-sur-Marne - bassin d'eaux calmes;48.8623;2.6348;4;07/08/24;10/08/24;2;0;0;0;non
CHEN Jinfeng;https://olympics.com/fr/paris-2024/athlete/jinfeng-chen_1918934;Athlétisme;08/08/04;République populaire de Chine;20;Athlète Remplaçant;177;Homme;;;;0;;;0;0;0;0;non
CHEN Jingyue;https://olympics.com/fr/paris-2024/athlete/jingyue-chen_1961633;Voile;28/12/00;République populaire de Chine;23;Athlète;;Femme;Marina de Marseille;43.2661;5.3678;6;04/08/24;07/08/24;4;0;0;0;non
CHEN Juner;https://olympics.com/fr/paris-2024/athlete/juner-chen_1945137;Natation;17/02/04;République populaire de Chine;20;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;2;27/07/24;27/07/24;1;0;0;0;non
CHEN Keyi;https://olympics.com/fr/paris-2024/athlete/keyi-chen_1927179;Rugby à sept;23/07/95;République populaire de Chine;29;Athlète;171;Femme;Stade de France;48.924475;2.360127;6;28/07/24;30/07/24;3;0;0;0;non
CHEN Linlin;https://olympics.com/fr/paris-2024/athlete/linlin-chen_1961672;Voile;24/12/98;République populaire de Chine;25;Athlète;;Femme;Marina de Marseille;43.2661;5.3678;12;03/08/24;06/08/24;4;0;0;0;non
CHEN Luying;https://olympics.com/fr/paris-2024/athlete/luying-chen_1945208;Natation;11/11/06;République populaire de Chine;17;Athlète;;Femme;Paris La Défense Arena;48.8954;2.2294;2;31/07/24;31/07/24;1;0;0;0;non
CHEN Meng;https://olympics.com/fr/paris-2024/athlete/meng-chen_1902307;Tennis de table;15/01/94;République populaire de Chine;30;Athlète;;Femme;Arena Paris Sud 4;48.830184;2.289033;10;29/07/24;10/08/24;10;2;0;0;non
CHEN Mingling;https://olympics.com/fr/paris-2024/athlete/mingling-chen_1901732;Basketball 3x3;25/07/00;République populaire de Chine;24;Athlète;192;Femme;La Concorde 1;48.86640642;2.32119515;8;30/07/24;03/08/24;5;0;0;0;non
CHEN Nien Chin;https://olympics.com/fr/paris-2024/athlete/nien-chin-chen_1887975;Boxe;10/05/97;Chinese Taipei;27;Athlète;170;Femme;multisite;;;4;28/07/24;06/08/24;4;0;0;1;non
CHEN Qing Chen;https://olympics.com/fr/paris-2024/athlete/qing-chen-chen_1913438;Badminton;23/06/97;République populaire de Chine;27;Athlète;164;Femme;Arena Porte de la Chapelle;48.8997292;2.3605141;6;27/07/24;03/08/24;6;1;0;0;non
CHEN Qingyuan;https://olympics.com/fr/paris-2024/athlete/qingyuan-chen_1902563;Escrime;15/02/97;République populaire de Chine;27;Athlète;;Femme;Grand Palais;48.86616355;2.3125474;4;28/07/24;01/08/24;2;0;0;0;non
CHEN Szu-Yu;https://olympics.com/fr/paris-2024/athlete/szu-yu-chen_1814043;Tennis de table;01/08/93;Chinese Taipei;31;Athlète;;Femme;Arena Paris Sud 4;48.830184;2.289033;4;27/07/24;07/08/24;4;0;0;0;non
CHEN Tang Jie;https://olympics.com/fr/paris-2024/athlete/tang-jie-chen_1566608;Badminton;05/01/98;Malaisie;26;Athlète;180;Homme;Arena Porte de la Chapelle;48.8997292;2.3605141;4;27/07/24;31/07/24;4;0;0;0;non
CHEN Wen-Huei;https://olympics.com/fr/paris-2024/athlete/wen-huei-chen_1569570;Haltérophilie;23/02/97;Chinese Taipei;27;Athlète;;Femme;Arena Paris Sud 6;48.829381;2.290865;1;09/08/24;09/08/24;1;0;0;0;non
CHEN Xiao;https://olympics.com/fr/paris-2024/athlete/xiao-chen_1927245;Water-polo;11/03/99;République populaire de Chine;25;Athlète;183;Femme;Centre Aquatique;48.923723;2.35578;4;27/07/24;02/08/24;4;0;0;0;non
CHEN Yang;https://olympics.com/fr/paris-2024/athlete/yang-chen_1926926;Hockey;15/02/97;République populaire de Chine;27;Athlète;;Femme;Stade Yves-du-Manoir;48.92934371;2.24777122;8;28/07/24;09/08/24;8;0;1;0;non
CHEN Yi;https://olympics.com/fr/paris-2024/athlete/yi-chen_1926893;Hockey;28/01/97;République populaire de Chine;27;Athlète;;Femme;Stade Yves-du-Manoir;48.92934371;2.24777122;7;28/07/24;09/08/24;7;0;1;0;non
CHEN Yi-Tung;https://olympics.com/fr/paris-2024/athlete/yi-tung-chen_1888267;Escrime;27/06/03;Chinese Taipei;21;Athlète;;Homme;Grand Palais;48.86616355;2.3125474;2;29/07/24;29/07/24;1;0;0;0;non
CHEN Yiwen;https://olympics.com/fr/paris-2024/athlete/yiwen-chen_1901538;Plongeon;15/06/99;République populaire de Chine;25;Athlète;;Femme;Centre Aquatique;48.923723;2.35578;4;27/07/24;09/08/24;4;2;0;0;non
CHEN Yu Fei;https://olympics.com/fr/paris-2024/athlete/yu-fei-chen_1913434;Badminton;01/03/98;République populaire de Chine;26;Athlète;171;Femme;Arena Porte de la Chapelle;48.8997292;2.3605141;3;28/07/24;03/08/24;3;0;0;0;non
CHEN Yule;https://olympics.com/fr/paris-2024/athlete/yule-chen_1927410;Canoë-kayak sprint;17/12/07;République populaire de Chine;16;Athlète;;Femme;Stade nautique de Vaires-sur-Marne - bassin d'eaux calmes;48.8623;2.6348;3;06/08/24;09/08/24;2;0;0;0;non
CHEN Yunxia;https://olympics.com/fr/paris-2024/athlete/yunxia-chen_1918424;Aviron;05/12/95;République populaire de Chine;28;Athlète;;Femme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;3;27/07/24;31/07/24;3;0;0;0;non
CHEN Yuxi;https://olympics.com/fr/paris-2024/athlete/yuxi-chen_1901544;Plongeon;11/09/05;République populaire de Chine;19;Athlète;;Femme;Centre Aquatique;48.923723;2.35578;4;31/07/24;06/08/24;3;1;1;0;non
CHENG Camille Lily Mei;https://olympics.com/fr/paris-2024/athlete/camille-lily-mei-cheng_1925124;Natation;09/05/93;Hong Kong, Chine;31;Athlète;;Femme;Paris La Défense Arena;48.8954;2.2294;1;27/07/24;27/07/24;1;0;0;0;non
CHENG Ching Yin;https://olympics.com/fr/paris-2024/athlete/ching-yin-cheng_1957617;Voile;10/08/99;Hong Kong, Chine;25;Athlète;;Homme;Marina de Marseille;43.2661;5.3678;13;29/07/24;01/08/24;4;0;0;0;non
CHENG I-Ching;https://olympics.com/fr/paris-2024/athlete/i-ching-cheng_1812512;Tennis de table;15/02/92;Chinese Taipei;32;Athlète;;Femme;Arena Paris Sud 4;48.830184;2.289033;6;28/07/24;07/08/24;6;0;0;0;non
CHENG Kelly;https://olympics.com/fr/paris-2024/athlete/kelly-cheng_1918077;Volleyball de plage;18/09/95;États-Unis d'Amérique;29;Athlète;188;Femme;Stade Tour Eiffel;48.85613;2.2978;5;28/07/24;06/08/24;5;0;0;0;non
CHENG Wentao;https://olympics.com/fr/paris-2024/athlete/wentao-cheng_1908848;Natation artistique;18/05/98;République populaire de Chine;26;Athlète remplaçant;;Femme;;;;0;;;0;1;0;0;non
CHENG Yujie;https://olympics.com/fr/paris-2024/athlete/yujie-cheng_1945230;Natation;22/09/05;République populaire de Chine;19;Athlète;;Femme;Paris La Défense Arena;48.8954;2.2294;2;27/07/24;27/07/24;1;0;0;1;non
CHENIER Virginie;https://olympics.com/fr/paris-2024/athlete/virginie-chenier_1971736;Tir à l'arc;12/09/94;Canada;30;Athlète;;Femme;Invalides;48.85704803;2.312835932;3;25/07/24;01/08/24;2;0;0;0;non
CHEPCHIRCHIR Nelly;https://olympics.com/fr/paris-2024/athlete/nelly-chepchirchir_1910557;Athlétisme;04/06/03;Kenya;21;Athlète;167;Femme;Stade de France;48.924475;2.360127;2;06/08/24;08/08/24;2;0;0;0;non
CHEPKOECH Beatrice;https://olympics.com/fr/paris-2024/athlete/beatrice-chepkoech_1910421;Athlétisme;06/07/91;Kenya;33;Athlète;170;Femme;Stade de France;48.924475;2.360127;2;04/08/24;06/08/24;2;0;0;0;non
CHEPKOECH Jackline;https://olympics.com/fr/paris-2024/athlete/jackline-chepkoech_1928822;Athlétisme;03/10/03;Kenya;20;Athlète;167;Femme;Stade de France;48.924475;2.360127;1;04/08/24;04/08/24;1;0;0;0;non
CHEPTEGEI Joshua;https://olympics.com/fr/paris-2024/athlete/joshua-cheptegei_1970827;Athlétisme;12/09/96;Ouganda;28;Athlète;183;Homme;Stade de France;48.924475;2.360127;1;02/08/24;02/08/24;1;1;0;0;oui
CHEPTEGEI Rebecca;https://olympics.com/fr/paris-2024/athlete/rebecca-cheptegei_1981046;Athlétisme;22/02/91;Ouganda;33;Athlète;166;Femme;Invalides;48.85704803;2.312835932;1;11/08/24;11/08/24;1;0;0;0;non
CHEPTOYEK Joy;https://olympics.com/fr/paris-2024/athlete/joy-cheptoyek_1981224;Athlétisme;15/05/02;Ouganda;22;Athlète;156;Femme;Stade de France;48.924475;2.360127;1;02/08/24;02/08/24;1;0;0;0;non
CHEPURNYI Nazar;https://olympics.com/fr/paris-2024/athlete/nazar-chepurnyi_1897557;Gymnastique artistique;03/09/02;Ukraine;22;Athlète;;Homme;Arena Bercy;48.83863;2.378597;2;29/07/24;04/08/24;2;0;0;0;non
CHERKI Rayan;https://olympics.com/fr/paris-2024/athlete/rayan-cherki_1900641;Football;17/08/03;France;21;Athlète;180;Homme;multisite;;;6;24/07/24;09/08/24;6;0;1;0;non
CHEROTICH Faith;https://olympics.com/fr/paris-2024/athlete/faith-cherotich_1910453;Athlétisme;13/07/04;Kenya;20;Athlète;167;Femme;Stade de France;48.924475;2.360127;2;04/08/24;06/08/24;2;0;0;1;non
CHEROTICH Zeddy;https://olympics.com/fr/paris-2024/athlete/zeddy-cherotich_3549843;Judo;06/05/90;Kenya;34;Athlète;;Femme;Arena Champ de Mars;48.8531;2.30252;1;01/08/24;01/08/24;1;0;0;0;non
CHERUIYOT Reynold;https://olympics.com/fr/paris-2024/athlete/reynold-cheruiyot_1928786;Athlétisme;30/07/04;Kenya;20;Athlète;173;Homme;Stade de France;48.924475;2.360127;2;02/08/24;04/08/24;2;0;0;0;non
CHERUIYOT Timothy;https://olympics.com/fr/paris-2024/athlete/timothy-cheruiyot_1910443;Athlétisme;20/11/95;Kenya;28;Athlète;179;Homme;Stade de France;48.924475;2.360127;3;02/08/24;06/08/24;3;0;0;0;non
CHERUTI Meiron Amir;https://olympics.com/fr/paris-2024/athlete/meiron-amir-cheruti_1897363;Natation;19/10/97;Israël;26;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;2;01/08/24;01/08/24;1;0;0;0;non
CHERY Alexia;https://olympics.com/fr/paris-2024/athlete/alexia-chery_1573442;Basketball;05/09/98;France;26;Athlète;190;Femme;multisite;;;6;29/07/24;11/08/24;6;0;1;0;non
CHESANG Stella;https://olympics.com/fr/paris-2024/athlete/stella-chesang_1981010;Athlétisme;01/12/96;Ouganda;27;Athlète;160;Femme;Invalides;48.85704803;2.312835932;1;11/08/24;11/08/24;1;0;0;0;non
CHETCUTI Gianluca;https://olympics.com/fr/paris-2024/athlete/gianluca-chetcuti_1894388;Tir;18/11/97;Malte;26;Athlète;;Homme;Centre national de tir de Châteauroux;46.8157;1.7582;2;29/07/24;30/07/24;2;0;0;0;non
CHEUNG Ka Long;https://olympics.com/fr/paris-2024/athlete/ka-long-cheung_1963245;Escrime;10/06/97;Hong Kong, Chine;27;Athlète;;Homme;Grand Palais;48.86616355;2.3125474;5;29/07/24;29/07/24;1;1;0;0;non
CHEUNG Sum Yuet Cindy;https://olympics.com/fr/paris-2024/athlete/sum-yuet-cindy-cheung_1925130;Natation;09/08/06;Hong Kong, Chine;18;Athlète;;Femme;Paris La Défense Arena;48.8954;2.2294;2;29/07/24;01/08/24;2;0;0;0;non
CHEVRIER Luc;https://olympics.com/fr/paris-2024/athlete/luc-chevrier_1537185;Voile;30/06/99;Sainte-Lucie;25;Athlète;;Homme;Marina de Marseille;43.2661;5.3678;8;01/08/24;05/08/24;5;0;0;0;non
CHEW Caroline;https://olympics.com/fr/paris-2024/athlete/caroline-chew_1535993;Sports équestres;18/04/92;Singapour;32;Athlète;;Femme;Château de Versailles;48.81432266;2.08452588;1;30/07/24;30/07/24;1;0;0;0;non
CHHUN Bunthorn;https://olympics.com/fr/paris-2024/athlete/bunthorn-chhun_1543090;Athlétisme;31/05/93;Cambodge;31;Athlète;170;Homme;Stade de France;48.924475;2.360127;2;07/08/24;08/08/24;2;0;0;0;non
CHIA Aaron;https://olympics.com/fr/paris-2024/athlete/aaron-chia_1566564;Badminton;24/02/97;Malaisie;27;Athlète;168;Homme;Arena Porte de la Chapelle;48.8997292;2.3605141;6;27/07/24;04/08/24;6;0;0;1;non
CHIANCA Joao;https://olympics.com/fr/paris-2024/athlete/joao-chianca_1955780;Surf;30/08/00;Brésil;24;Athlète;;Homme;Tahiti Teahupo'o;-17.86693;-149.25208;3;27/07/24;02/08/24;3;0;0;0;non
CHIARELLA Florencia;https://olympics.com/fr/paris-2024/athlete/florencia-chiarella_1944415;Voile;25/09/03;Pérou;21;Athlète;;Femme;Marina de Marseille;43.2661;5.3678;9;01/08/24;05/08/24;5;0;0;0;non
CHIAVARINI Lorenzo Brando;https://olympics.com/fr/paris-2024/athlete/lorenzo-brando-chiavarini_1899642;Voile;17/01/94;Italie;30;Athlète;;Homme;Marina de Marseille;43.2661;5.3678;9;01/08/24;07/08/24;6;0;0;0;non
CHIBA Remina;https://olympics.com/fr/paris-2024/athlete/remina-chiba_1888172;Football;30/04/99;Japon;25;Athlète;162;Femme;multisite;;;4;25/07/24;03/08/24;4;0;0;0;non
CHIEN Pei-Yun;https://olympics.com/fr/paris-2024/athlete/pei-yun-chien_1909186;Golf;22/10/90;Chinese Taipei;33;Athlète;167;Femme;Golf National;48.7532;2.0758;4;07/08/24;10/08/24;4;0;0;0;non
CHIEN Tung-Chuan;https://olympics.com/fr/paris-2024/athlete/tung-chuan-chien_1822208;Tennis de table;01/01/02;Chinese Taipei;22;Athlète;;Femme;Arena Paris Sud 4;48.830184;2.289033;3;29/07/24;07/08/24;3;0;0;0;non
CHIERIGHINI Marcelo;https://olympics.com/fr/paris-2024/athlete/marcelo-chierighini_1954370;Natation;15/01/91;Brésil;33;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;2;27/07/24;30/07/24;2;0;0;0;non
CHILD Simon;https://olympics.com/fr/paris-2024/athlete/simon-child_1926488;Hockey;16/04/88;Nouvelle-Zélande;36;Athlète;;Homme;Stade Yves-du-Manoir;48.92934371;2.24777122;2;27/07/24;28/07/24;2;0;0;0;non
CHILES Jordan;https://olympics.com/fr/paris-2024/athlete/jordan-chiles_1959825;Gymnastique artistique;15/04/01;États-Unis d'Amérique;23;Athlète;;Femme;Arena Bercy;48.83863;2.378597;3;30/07/24;05/08/24;3;1;0;0;non
CHILESHE Rhoda;https://olympics.com/fr/paris-2024/athlete/rhoda-chileshe_1974724;Football;08/05/98;Zambie;26;Athlète;160;Femme;multisite;;;3;25/07/24;31/07/24;3;0;0;0;non
CHILUFYA Prisca;https://olympics.com/fr/paris-2024/athlete/prisca-chilufya_1976010;Football;08/06/99;Zambie;25;Athlète;170;Femme;multisite;;;3;25/07/24;31/07/24;3;0;0;0;non
CHINENYEZE Barthelemy;https://olympics.com/fr/paris-2024/athlete/barthelemy-chinenyeze_1574045;Volleyball;28/02/98;France;26;Athlète;204;Homme;Arena Paris Sud 1;48.832968;2.2840069;6;28/07/24;10/08/24;6;1;0;0;non
CHINYEMBA Patrick;https://olympics.com/fr/paris-2024/athlete/patrick-chinyemba_1918186;Boxe;03/01/01;Zambie;23;Athlète;160;Homme;Arena Paris Nord;48.9721;2.5149;2;30/07/24;02/08/24;2;0;0;0;non
CHIRAULT Thomas;https://olympics.com/fr/paris-2024/athlete/thomas-chirault_1541272;Tir à l'arc;15/09/97;France;27;Athlète;;Homme;Invalides;48.85704803;2.312835932;8;25/07/24;04/08/24;4;0;1;0;non
CHIRILA Catalin;https://olympics.com/fr/paris-2024/athlete/catalin-chirila_1541568;Canoë-kayak sprint;11/05/98;Roumanie;26;Athlète;;Homme;Stade nautique de Vaires-sur-Marne - bassin d'eaux calmes;48.8623;2.6348;3;07/08/24;09/08/24;2;0;0;0;non
CHIRUTA Mihai;https://olympics.com/fr/paris-2024/athlete/mihai-chiruta_1551184;Aviron;26/09/98;Roumanie;26;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;4;27/07/24;03/08/24;4;0;0;0;non
CHIRYUKIN Nikita;https://olympics.com/fr/paris-2024/athlete/nikita-chiryukin_1930463;Tir;05/07/02;Kazakhstan;22;Athlète;;Homme;Centre national de tir de Châteauroux;46.8157;1.7582;4;27/07/24;04/08/24;3;0;0;0;non
CHITHRAVEL Praveen;https://olympics.com/fr/paris-2024/athlete/praveen-chithravel_1563514;Athlétisme;05/06/01;Inde;23;Athlète;174;Homme;Stade de France;48.924475;2.360127;1;07/08/24;07/08/24;1;0;0;0;non
CHITUNDU Avell;https://olympics.com/fr/paris-2024/athlete/avell-chitundu_1925995;Football;30/07/97;Zambie;27;Athlète;140;Femme;multisite;;;3;25/07/24;31/07/24;3;0;0;0;non
CHIU Hin Chun;https://olympics.com/fr/paris-2024/athlete/hin-chun-chiu_1961612;Aviron;20/08/94;Hong Kong, Chine;30;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;5;27/07/24;02/08/24;5;0;0;0;non
CHIU Vinson;https://olympics.com/fr/paris-2024/athlete/vinson-chiu_1955623;Badminton;08/08/98;États-Unis d'Amérique;26;Athlète;182;Homme;Arena Porte de la Chapelle;48.8997292;2.3605141;7;27/07/24;30/07/24;4;0;0;0;non
CHIU Yi-Ching;https://olympics.com/fr/paris-2024/athlete/yi-ching-chiu_1564635;Tir à l'arc;16/10/03;Chinese Taipei;20;Athlète;;Femme;Invalides;48.85704803;2.312835932;5;25/07/24;01/08/24;3;0;0;0;non
CHIUMENTO Luca;https://olympics.com/fr/paris-2024/athlete/luca-chiumento_1547863;Aviron;19/11/97;Italie;26;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;2;27/07/24;31/07/24;2;0;1;0;non
CHKHEIDZE Irakli;https://olympics.com/fr/paris-2024/athlete/irakli-chkheidze_1909905;Haltérophilie;05/01/99;Géorgie;25;Athlète;;Homme;Arena Paris Sud 6;48.829381;2.290865;1;10/08/24;10/08/24;1;0;0;0;non
CHMIELEWSKI Krzysztof;https://olympics.com/fr/paris-2024/athlete/krzysztof-chmielewski_1879504;Natation;08/06/04;Pologne;20;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;4;30/07/24;03/08/24;3;0;0;0;non
CHMIELEWSKI Michal;https://olympics.com/fr/paris-2024/athlete/michal-chmielewski_1879505;Natation;08/06/04;Pologne;20;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;2;30/07/24;30/07/24;1;0;0;0;non
CHO Daeseong;https://olympics.com/fr/paris-2024/athlete/daeseong-cho_1936413;Tennis de table;13/10/02;République de Corée;21;Athlète;;Homme;Arena Paris Sud 4;48.830184;2.289033;3;28/07/24;07/08/24;3;0;0;0;non
CHO Sung Jae;https://olympics.com/fr/paris-2024/athlete/sung-jae-cho_1901601;Natation;13/03/01;République de Corée;23;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;2;30/07/24;30/07/24;1;0;0;0;non
CHO Yeongjae;https://olympics.com/fr/paris-2024/athlete/yeongjae-cho_1893852;Tir;15/01/99;République de Corée;25;Athlète;;Homme;Centre national de tir de Châteauroux;46.8157;1.7582;5;27/07/24;05/08/24;4;0;1;0;non
CHOE Byeongkwang;https://olympics.com/fr/paris-2024/athlete/byeongkwang-choe_1902608;Athlétisme;07/04/91;République de Corée;33;Athlète;185;Homme;Trocadéro;48.85972558;2.29221884;1;01/08/24;01/08/24;1;0;0;0;non
CHOE Daehan;https://olympics.com/fr/paris-2024/athlete/daehan-choe_1893855;Tir;30/11/04;République de Corée;19;Athlète;;Homme;Centre national de tir de Châteauroux;46.8157;1.7582;3;27/07/24;29/07/24;3;0;0;0;non
CHOE Hyo Gyong;https://olympics.com/fr/paris-2024/athlete/hyo-gyong-choe_1980149;Lutte;10/05/00;République populaire démocratique de Corée;24;Athlète;;Femme;Arena Champ de Mars;48.8531;2.30252;3;07/08/24;08/08/24;2;0;0;1;non
CHOI Dongyeol;https://olympics.com/fr/paris-2024/athlete/dongyeol-choi_1901602;Natation;01/05/99;République de Corée;25;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;3;27/07/24;03/08/24;3;0;0;0;non
CHOI Injeong;https://olympics.com/fr/paris-2024/athlete/injeong-choi_1927111;Escrime;21/05/90;République de Corée;34;Athlète;;Femme;Grand Palais;48.86616355;2.3125474;3;30/07/24;30/07/24;1;0;0;0;non
CHOI Sebin;https://olympics.com/fr/paris-2024/athlete/sebin-choi_1927113;Escrime;11/08/00;République de Corée;24;Athlète;;Femme;Grand Palais;48.86616355;2.3125474;8;29/07/24;03/08/24;2;0;1;0;non
