code,name,discipline,event,color
BEL,EVENEPOEL Remco,Cycling Road,Men's Individual Time Trial,Gold
ITA,GANNA Filippo,Cycling Road,Men's Individual Time Trial,Silver
BEL,van AERT Wout,Cycling Road,Men's Individual Time Trial,Bronze
AUS,BROWN Grace,Cycling Road,Women's Individual Time Trial,Gold
GBR,HENDERSON Anna,Cycling Road,Women's Individual Time Trial,Silver
USA,DYGERT Chloe,Cycling Road,Women's Individual Time Trial,Bronze
KOR,OH Sanguk,Fencing,Men's Sabre Individual,Gold
TUN,FERJANI Fares,Fencing,Men's Sabre Individual,Silver
ITA,SAMELE Luigi,Fencing,Men's Sabre Individual,Bronze
HKG,KONG Man Wai Vivian,Fencing,Women's Épée Individual,Gold
FRA,MALLO-BRETON Auriane,Fencing,Women's Épée Individual,Silver
HUN,MUHARI Eszter,Fencing,Women's Épée Individual,Bronze
KAZ,SMETOV Yeldos,Judo,Men -60 kg,Gold
FRA,MKHEIDZE Luka,Judo,Men -60 kg,Silver
JPN,NAGAYAMA Ryuju,Judo,Men -60 kg,Bronze
ESP,GARRIGOS Francisco,Judo,Men -60 kg,Bronze
JPN,TSUNODA Natsumi,Judo,Women -48 kg,Gold
MGL,BAVUUDORJ Baasankhuu,Judo,Women -48 kg,Silver
FRA,BOUKLI Shirine,Judo,Women -48 kg,Bronze
SWE,BABULFATH Tara,Judo,Women -48 kg,Bronze
GER,MAERTENS Lukas,Swimming,Men's 400m Freestyle,Gold
AUS,WINNINGTON Elijah,Swimming,Men's 400m Freestyle,Silver
KOR,KIM Woomin,Swimming,Men's 400m Freestyle,Bronze
AUS,TITMUS Ariarne,Swimming,Women's 400m Freestyle,Gold
CAN,McINTOSH Summer,Swimming,Women's 400m Freestyle,Silver
USA,LEDECKY Katie,Swimming,Women's 400m Freestyle,Bronze
AUS,FOX Jessica,Canoe Slalom,Women's Kayak Single,Gold
POL,ZWOLINSKA Klaudia,Canoe Slalom,Women's Kayak Single,Silver
GBR,WOODS Kimberley,Canoe Slalom,Women's Kayak Single,Bronze
FRA,FERRAND PREVOT Pauline,Cycling Mountain Bike,Women's Cross-country,Gold
USA,BATTEN Haley,Cycling Mountain Bike,Women's Cross-country,Silver
SWE,RISSVEDS Jenny,Cycling Mountain Bike,Women's Cross-country,Bronze
JPN,KANO Koki,Fencing,Men's Épée Individual,Gold
FRA,BOREL Yannick,Fencing,Men's Épée Individual,Silver
EGY,ELSAYED Mohamed,Fencing,Men's Épée Individual,Bronze
USA,KIEFER Lee,Fencing,Women's Foil Individual,Gold
USA,SCRUGGS Lauren,Fencing,Women's Foil Individual,Silver
CAN,HARVEY Eleanor,Fencing,Women's Foil Individual,Bronze
JPN,ABE Hifumi,Judo,Men -66 kg,Gold
BRA,LIMA Willian,Judo,Men -66 kg,Silver
KAZ,KYRGYZBAYEV Gusman,Judo,Men -66 kg,Bronze
MDA,VIERU Denis,Judo,Men -66 kg,Bronze
UZB,KELDIYOROVA Diyora,Judo,Women -52 kg,Gold
KOS,KRASNIQI Distria,Judo,Women -52 kg,Silver
BRA,PIMENTA Larissa,Judo,Women -52 kg,Bronze
FRA,BUCHARD Amandine,Judo,Women -52 kg,Bronze
CHN,XIE Yu,Shooting,10m Air Pistol Men,Gold
ITA,MALDINI Federico Nilo,Shooting,10m Air Pistol Men,Silver
ITA,MONNA Paolo,Shooting,10m Air Pistol Men,Bronze
KOR,OH Ye Jin,Shooting,10m Air Pistol Women,Gold
KOR,KIM Yeji,Shooting,10m Air Pistol Women,Silver
IND,BHAKER Manu,Shooting,10m Air Pistol Women,Bronze
JPN,YOSHIZAWA Coco,Skateboarding,Women's Street,Gold
JPN,AKAMA Liz,Skateboarding,Women's Street,Silver
BRA,LEAL Rayssa,Skateboarding,Women's Street,Bronze
ITA,MARTINENGHI Nicolo,Swimming,Men's 100m Breaststroke,Gold
GBR,PEATY Adam,Swimming,Men's 100m Breaststroke,Silver
USA,FINK Nic,Swimming,Men's 100m Breaststroke,Silver
FRA,MARCHAND Leon,Swimming,Men's 400m Individual Medley,Gold
JPN,MATSUSHITA Tomoyuki,Swimming,Men's 400m Individual Medley,Silver
USA,FOSTER Carson,Swimming,Men's 400m Individual Medley,Bronze
USA,HUSKE Torri,Swimming,Women's 100m Butterfly,Gold
USA,WALSH Gretchen,Swimming,Women's 100m Butterfly,Silver
CHN,ZHANG Yufei,Swimming,Women's 100m Butterfly,Bronze
FRA,GESTIN Nicolas,Canoe Slalom,Men's Canoe Single,Gold
GBR,BURGESS Adam,Canoe Slalom,Men's Canoe Single,Silver
SVK,BENUS Matej,Canoe Slalom,Men's Canoe Single,Bronze
GBR,PIDCOCK Thomas,Cycling Mountain Bike,Men's Cross-country,Gold
FRA,KORETZKY Victor,Cycling Mountain Bike,Men's Cross-country,Silver
RSA,HATHERLY Alan,Cycling Mountain Bike,Men's Cross-country,Bronze
GER,JUNG Michael,Equestrian,Eventing Individual,Gold
AUS,BURTON Christopher,Equestrian,Eventing Individual,Silver
GBR,COLLETT Laura,Equestrian,Eventing Individual,Bronze
HKG,CHEUNG Ka Long,Fencing,Men's Foil Individual,Gold
ITA,MACCHI Filippo,Fencing,Men's Foil Individual,Silver
USA,ITKIN Nick,Fencing,Men's Foil Individual,Bronze
FRA,APITHY-BRUNET Manon,Fencing,Women's Sabre Individual,Gold
FRA,BALZER Sara,Fencing,Women's Sabre Individual,Silver
UKR,KHARLAN Olga,Fencing,Women's Sabre Individual,Bronze
AZE,HEYDAROV Hidayat,Judo,Men -73 kg,Gold
FRA,GABA Joan-Benjamin,Judo,Men -73 kg,Silver
MDA,OSMANOV Adil,Judo,Men -73 kg,Bronze
JPN,HASHIMOTO Soichi,Judo,Men -73 kg,Bronze
CAN,DEGUCHI Christa,Judo,Women -57 kg,Gold
KOR,HUH Mimi,Judo,Women -57 kg,Silver
JPN,FUNAKUBO Haruka,Judo,Women -57 kg,Bronze
FRA,CYSIQUE Sarah Leonie,Judo,Women -57 kg,Bronze
CHN,SHENG Lihao,Shooting,10m Air Rifle Men,Gold
SWE,LINDGREN Victor,Shooting,10m Air Rifle Men,Silver
CRO,MARICIC Miran,Shooting,10m Air Rifle Men,Bronze
KOR,BAN Hyojin,Shooting,10m Air Rifle Women,Gold
CHN,HUANG Yuting,Shooting,10m Air Rifle Women,Silver
SUI,GOGNIAT Audrey,Shooting,10m Air Rifle Women,Bronze
JPN,HORIGOME Yuto,Skateboarding,Men's Street,Gold
USA,EATON Jagger,Skateboarding,Men's Street,Silver
USA,HUSTON Nyjah,Skateboarding,Men's Street,Bronze
ITA,CECCON Thomas,Swimming,Men's 100m Backstroke,Gold
CHN,XU Jiayu,Swimming,Men's 100m Backstroke,Silver
USA,MURPHY Ryan,Swimming,Men's 100m Backstroke,Bronze
ROU,POPOVICI David,Swimming,Men's 200m Freestyle,Gold
GBR,RICHARDS Matthew,Swimming,Men's 200m Freestyle,Silver
USA,HOBSON Luke,Swimming,Men's 200m Freestyle,Bronze
RSA,SMITH Tatjana,Swimming,Women's 100m Breaststroke,Gold
CHN,TANG Qianting,Swimming,Women's 100m Breaststroke,Silver
IRL,Mc SHARRY Mona,Swimming,Women's 100m Breaststroke,Bronze
AUS,O'CALLAGHAN Mollie,Swimming,Women's 200m Freestyle,Gold
AUS,TITMUS Ariarne,Swimming,Women's 200m Freestyle,Silver
HKG,HAUGHEY Siobhan Bernadette,Swimming,Women's 200m Freestyle,Bronze
CAN,McINTOSH Summer,Swimming,Women's 400m Individual Medley,Gold
USA,GRIMES Katie,Swimming,Women's 400m Individual Medley,Silver
USA,WEYANT Emma,Swimming,Women's 400m Individual Medley,Bronze
JPN,NAGASE Takanori,Judo,Men -81 kg,Gold
GEO,GRIGALASHVILI Tato,Judo,Men -81 kg,Silver
KOR,LEE Joonhwan,Judo,Men -81 kg,Bronze
TJK,MAKHMADBEKOV Somon,Judo,Men -81 kg,Bronze
SLO,LESKI Andreja,Judo,Women -63 kg,Gold
MEX,AWITI ALCARAZ Prisca,Judo,Women -63 kg,Silver
FRA,AGBEGNENOU Clarisse,Judo,Women -63 kg,Bronze
KOS,FAZLIU Laura,Judo,Women -63 kg,Bronze
GBR,HALES Nathan,Shooting,Trap Men,Gold
CHN,QI Ying,Shooting,Trap Men,Silver
GUA,BROL CARDENAS Jean Pierre,Shooting,Trap Men,Bronze
IRL,WIFFEN Daniel,Swimming,Men's 800m Freestyle,Gold
USA,FINKE Bobby,Swimming,Men's 800m Freestyle,Silver
ITA,PALTRINIERI Gregorio,Swimming,Men's 800m Freestyle,Bronze
AUS,McKEOWN Kaylee,Swimming,Women's 100m Backstroke,Gold
USA,SMITH Regan,Swimming,Women's 100m Backstroke,Silver
USA,BERKOFF Katharine,Swimming,Women's 100m Backstroke,Bronze
JPN,OKA Shinnosuke,Artistic Gymnastics,Men's All-Around,Gold
CHN,ZHANG Boheng,Artistic Gymnastics,Men's All-Around,Silver
CHN,XIAO Ruoteng,Artistic Gymnastics,Men's All-Around,Bronze
AUS,FOX Jessica,Canoe Slalom,Women's Canoe Single,Gold
GER,LILIK Elena,Canoe Slalom,Women's Canoe Single,Silver
USA,LEIBFARTH Evy,Canoe Slalom,Women's Canoe Single,Bronze
ARG,TORRES GIL Jose,Cycling BMX Freestyle,Men's Park,Gold
GBR,REILLY Kieran Darren David,Cycling BMX Freestyle,Men's Park,Silver
FRA,JEANJEAN Anthony,Cycling BMX Freestyle,Men's Park,Bronze
CHN,DENG Yawen,Cycling BMX Freestyle,Women's Park,Gold
USA,BENEGAS Perris,Cycling BMX Freestyle,Women's Park,Silver
AUS,DIEHM Natalya,Cycling BMX Freestyle,Women's Park,Bronze
GEO,BEKAURI Lasha,Judo,Men -90 kg,Gold
JPN,MURAO Sanshiro,Judo,Men -90 kg,Silver
FRA,NGAYAP HAMBOU Maxime-Gael,Judo,Men -90 kg,Bronze
GRE,TSELIDIS Theodoros,Judo,Men -90 kg,Bronze
CRO,MATIC Barbara,Judo,Women -70 kg,Gold
GER,BUTKEREIT Miriam,Judo,Women -70 kg,Silver
AUT,POLLERES Michaela,Judo,Women -70 kg,Bronze
BEL,WILLEMS Gabriella,Judo,Women -70 kg,Bronze
GUA,RUANO OLIVA Adriana,Shooting,Trap Women,Gold
ITA,STANCO Silvana Maria,Shooting,Trap Women,Silver
AUS,SMITH Penny,Shooting,Trap Women,Bronze
CHN,PAN Zhanle,Swimming,Men's 100m Freestyle,Gold
AUS,CHALMERS Kyle,Swimming,Men's 100m Freestyle,Silver
ROU,POPOVICI David,Swimming,Men's 100m Freestyle,Bronze
FRA,MARCHAND Leon,Swimming,Men's 200m Breaststroke,Gold
AUS,STUBBLETY-COOK Zac,Swimming,Men's 200m Breaststroke,Silver
NED,CORBEAU Caspar,Swimming,Men's 200m Breaststroke,Bronze
FRA,MARCHAND Leon,Swimming,Men's 200m Butterfly,Gold
HUN,MILAK Kristof,Swimming,Men's 200m Butterfly,Silver
CAN,KHARUN Ilya,Swimming,Men's 200m Butterfly,Bronze
SWE,SJOESTROEM Sarah,Swimming,Women's 100m Freestyle,Gold
USA,HUSKE Torri,Swimming,Women's 100m Freestyle,Silver
HKG,HAUGHEY Siobhan Bernadette,Swimming,Women's 100m Freestyle,Bronze
USA,LEDECKY Katie,Swimming,Women's 1500m Freestyle,Gold
FRA,KIRPICHNIKOVA Anastasiia,Swimming,Women's 1500m Freestyle,Silver
GER,GOSE Isabel,Swimming,Women's 1500m Freestyle,Bronze
GBR,YEE Alex,Triathlon,Men's Individual,Gold
NZL,WILDE Hayden,Triathlon,Men's Individual,Silver
FRA,BERGERE Leo,Triathlon,Men's Individual,Bronze
FRA,BEAUGRAND Cassandre,Triathlon,Women's Individual,Gold
SUI,DERRON Julie,Triathlon,Women's Individual,Silver
GBR,POTTER Beth,Triathlon,Women's Individual,Bronze
USA,BILES Simone,Artistic Gymnastics,Women's All-Around,Gold
BRA,ANDRADE Rebeca,Artistic Gymnastics,Women's All-Around,Silver
USA,LEE Sunisa,Artistic Gymnastics,Women's All-Around,Bronze
ECU,PINTADO Brian Daniel,Athletics,Men's 20km Race Walk,Gold
BRA,BONFIM Caio,Athletics,Men's 20km Race Walk,Silver
ESP,MARTIN Alvaro,Athletics,Men's 20km Race Walk,Bronze
CHN,YANG Jiayu,Athletics,Women's 20km Race Walk,Gold
ESP,PEREZ Maria,Athletics,Women's 20km Race Walk,Silver
AUS,MONTAG Jemima,Athletics,Women's 20km Race Walk,Bronze
ITA,de GENNARO Giovanni,Canoe Slalom,Men's Kayak Single,Gold
FRA,CASTRYCK Titouan,Canoe Slalom,Men's Kayak Single,Silver
ESP,ECHANIZ Pau,Canoe Slalom,Men's Kayak Single,Bronze
AZE,KOTSOIEV Zelym,Judo,Men -100 kg,Gold
GEO,SULAMANIDZE Ilia,Judo,Men -100 kg,Silver
ISR,PALTCHIK Peter,Judo,Men -100 kg,Bronze
UZB,TUROBOYEV Muzaffarbek,Judo,Men -100 kg,Bronze
ITA,BELLANDI Alice,Judo,Women -78 kg,Gold
ISR,LANIR Inbar,Judo,Women -78 kg,Silver
CHN,MA Zhenzhao,Judo,Women -78 kg,Bronze
POR,SAMPAIO Patricia,Judo,Women -78 kg,Bronze
CHN,LIU Yukun,Shooting,50m Rifle 3 Positions Men,Gold
UKR,KULISH Serhiy,Shooting,50m Rifle 3 Positions Men,Silver
IND,KUSALE Swapnil,Shooting,50m Rifle 3 Positions Men,Bronze
HUN,KOS Hubert,Swimming,Men's 200m Backstroke,Gold
GRE,CHRISTOU Apostolos,Swimming,Men's 200m Backstroke,Silver
SUI,MITYUKOV Roman,Swimming,Men's 200m Backstroke,Bronze
USA,DOUGLASS Kate,Swimming,Women's 200m Breaststroke,Gold
RSA,SMITH Tatjana,Swimming,Women's 200m Breaststroke,Silver
NED,SCHOUTEN Tes,Swimming,Women's 200m Breaststroke,Bronze
CAN,McINTOSH Summer,Swimming,Women's 200m Butterfly,Gold
USA,SMITH Regan,Swimming,Women's 200m Butterfly,Silver
CHN,ZHANG Yufei,Swimming,Women's 200m Butterfly,Bronze
UGA,CHEPTEGEI Joshua,Athletics,"Men's 10,000m",Gold
ETH,AREGAWI Berihu,Athletics,"Men's 10,000m",Silver
USA,FISHER Grant,Athletics,"Men's 10,000m",Bronze
FRA,DAUDET Joris,Cycling BMX Racing,Men,Gold
FRA,ANDRE Sylvain,Cycling BMX Racing,Men,Silver
FRA,MAHIEU Romain,Cycling BMX Racing,Men,Bronze
AUS,SAKAKIBARA Saya,Cycling BMX Racing,Women,Gold
NED,VEENSTRA Manon,Cycling BMX Racing,Women,Silver
SUI,CLAESSENS Zoe,Cycling BMX Racing,Women,Bronze
FRA,RINER Teddy,Judo,Men +100 kg,Gold
KOR,KIM Minjong,Judo,Men +100 kg,Silver
TJK,RAKHIMOV Temur,Judo,Men +100 kg,Bronze
UZB,YUSUPOV Alisher,Judo,Men +100 kg,Bronze
BRA,SOUZA Beatriz,Judo,Women +78 kg,Gold
ISR,HERSHKO Raz,Judo,Women +78 kg,Silver
KOR,KIM Hayun,Judo,Women +78 kg,Bronze
FRA,DICKO Romane,Judo,Women +78 kg,Bronze
SUI,LEONE Chiara,Shooting,50m Rifle 3 Positions Women,Gold
USA,MADDALENA Sagen,Shooting,50m Rifle 3 Positions Women,Silver
CHN,ZHANG Qiongyue,Shooting,50m Rifle 3 Positions Women,Bronze
FRA,MARCHAND Leon,Swimming,Men's 200m Individual Medley,Gold
GBR,SCOTT Duncan,Swimming,Men's 200m Individual Medley,Silver
CHN,WANG Shun,Swimming,Men's 200m Individual Medley,Bronze
AUS,McEVOY Cameron,Swimming,Men's 50m Freestyle,Gold
GBR,PROUD Benjamin,Swimming,Men's 50m Freestyle,Silver
FRA,MANAUDOU Florent,Swimming,Men's 50m Freestyle,Bronze
AUS,McKEOWN Kaylee,Swimming,Women's 200m Backstroke,Gold
USA,SMITH Regan,Swimming,Women's 200m Backstroke,Silver
CAN,MASSE Kylie,Swimming,Women's 200m Backstroke,Bronze
POL,SWIATEK Iga,Tennis,Women's Singles,Bronze
AIN,LITVINOVICH Ivan,Trampoline Gymnastics,Men,Gold
CHN,WANG Zisai,Trampoline Gymnastics,Men,Silver
CHN,YAN Langyu,Trampoline Gymnastics,Men,Bronze
GBR,PAGE Bryony,Trampoline Gymnastics,Women,Gold
AIN,BARDZILOUSKAYA Viyaleta,Trampoline Gymnastics,Women,Silver
CAN,METHOT Sophiane,Trampoline Gymnastics,Women,Bronze
KOR,LIM Sihyeon,Archery,Women's Individual,Gold
KOR,NAM Suhyeon,Archery,Women's Individual,Silver
FRA,BARBELIN Lisa,Archery,Women's Individual,Bronze
PHI,YULO Carlos Edriel,Artistic Gymnastics,Men's Floor Exercise,Gold
ISR,DOLGOPYAT Artem,Artistic Gymnastics,Men's Floor Exercise,Silver
GBR,JARMAN Jake,Artistic Gymnastics,Men's Floor Exercise,Bronze
IRL,Mc CLENAGHAN Rhys,Artistic Gymnastics,Men's Pommel Horse,Gold
KAZ,KURBANOV Nariman,Artistic Gymnastics,Men's Pommel Horse,Silver
USA,NEDOROSCIK Stephen,Artistic Gymnastics,Men's Pommel Horse,Bronze
USA,BILES Simone,Artistic Gymnastics,Women's Vault,Gold
BRA,ANDRADE Rebeca,Artistic Gymnastics,Women's Vault,Silver
USA,CAREY Jade,Artistic Gymnastics,Women's Vault,Bronze
NOR,ROOTH Markus,Athletics,Men's Decathlon,Gold
GER,NEUGEBAUER Leo,Athletics,Men's Decathlon,Silver
GRN,VICTOR Lindon,Athletics,Men's Decathlon,Bronze
USA,CROUSER Ryan,Athletics,Men's Shot Put,Gold
USA,KOVACS Joe,Athletics,Men's Shot Put,Silver
JAM,CAMPBELL Rajindra,Athletics,Men's Shot Put,Bronze
LCA,ALFRED Julien,Athletics,Women's 100m,Gold
USA,RICHARDSON Sha'carri,Athletics,Women's 100m,Silver
USA,JEFFERSON Melissa,Athletics,Women's 100m,Bronze
DMA,LAFOND Thea,Athletics,Women's Triple Jump,Gold
JAM,RICKETTS Shanieka,Athletics,Women's Triple Jump,Silver
USA,MOORE Jasmine,Athletics,Women's Triple Jump,Bronze
TPE,WU Shih Yi,Boxing,Women's 60kg,Bronze
BRA,SOARES FERREIRA Beatriz Iasmin,Boxing,Women's 60kg,Bronze
BEL,EVENEPOEL Remco,Cycling Road,Men's Road Race,Gold
FRA,MADOUAS Valentin,Cycling Road,Men's Road Race,Silver
FRA,LAPORTE Christophe,Cycling Road,Men's Road Race,Bronze
GER,ZEIDLER Oliver,Rowing,Men's Single Sculls,Gold
AIN,ZALATY Yauheni,Rowing,Men's Single Sculls,Silver
NED,van DORP Simon,Rowing,Men's Single Sculls,Bronze
NED,FLORIJN Karolien,Rowing,Women's Single Sculls,Gold
NZL,TWIGG Emma,Rowing,Women's Single Sculls,Silver
LTU,SENKUTE Viktorija,Rowing,Women's Single Sculls,Bronze
ISR,REUVENY Tom,Sailing,Men's Windsurfing,Gold
AUS,MORRIS Grae,Sailing,Men's Windsurfing,Silver
NED,van OPZEELAND Luuc,Sailing,Men's Windsurfing,Bronze
ITA,MAGGETTI Marta,Sailing,Women's Windsurfing,Gold
ISR,KANTOR Sharon,Sailing,Women's Windsurfing,Silver
GBR,WILSON Emma,Sailing,Women's Windsurfing,Bronze
KOR,YANG Jiin,Shooting,25m Pistol Women,Gold
FRA,JEDRZEJEWSKI Camille,Shooting,25m Pistol Women,Silver
HUN,MAJOR Veronika,Shooting,25m Pistol Women,Bronze
USA,HANCOCK Vincent,Shooting,Skeet Men,Gold
USA,PRINCE Conner Lynn,Shooting,Skeet Men,Silver
TPE,LEE Meng Yuan,Shooting,Skeet Men,Bronze
HUN,MILAK Kristof,Swimming,Men's 100m Butterfly,Gold
CAN,LIENDO Josh,Swimming,Men's 100m Butterfly,Silver
CAN,KHARUN Ilya,Swimming,Men's 100m Butterfly,Bronze
CAN,McINTOSH Summer,Swimming,Women's 200m Individual Medley,Gold
USA,DOUGLASS Kate,Swimming,Women's 200m Individual Medley,Silver
AUS,McKEOWN Kaylee,Swimming,Women's 200m Individual Medley,Bronze
USA,LEDECKY Katie,Swimming,Women's 800m Freestyle,Gold
AUS,TITMUS Ariarne,Swimming,Women's 800m Freestyle,Silver
USA,MADDEN Paige,Swimming,Women's 800m Freestyle,Bronze
CHN,CHEN Meng,Table Tennis,Women's Singles,Gold
CHN,SUN Yingsha,Table Tennis,Women's Singles,Silver
JPN,HAYATA Hina,Table Tennis,Women's Singles,Bronze
ITA,MUSETTI Lorenzo,Tennis,Men's Singles,Bronze
CHN,ZHENG Qinwen,Tennis,Women's Singles,Gold
CRO,VEKIC Donna,Tennis,Women's Singles,Silver
KOR,KIM Woojin,Archery,Men's Individual,Gold
USA,ELLISON Brady,Archery,Men's Individual,Silver
KOR,LEE Wooseok,Archery,Men's Individual,Bronze
CHN,LIU Yang,Artistic Gymnastics,Men's Rings,Gold
CHN,ZOU Jingyuan,Artistic Gymnastics,Men's Rings,Silver
GRE,PETROUNIAS Eleftherios,Artistic Gymnastics,Men's Rings,Bronze
PHI,YULO Carlos Edriel,Artistic Gymnastics,Men's Vault,Gold
ARM,DAVTYAN Artur,Artistic Gymnastics,Men's Vault,Silver
GBR,HEPWORTH Harry,Artistic Gymnastics,Men's Vault,Bronze
ALG,NEMOUR Kaylia,Artistic Gymnastics,Women's Uneven Bars,Gold
CHN,QIU Qiyuan,Artistic Gymnastics,Women's Uneven Bars,Silver
USA,LEE Sunisa,Artistic Gymnastics,Women's Uneven Bars,Bronze
USA,LYLES Noah,Athletics,Men's 100m,Gold
JAM,THOMPSON Kishane,Athletics,Men's 100m,Silver
USA,KERLEY Fred,Athletics,Men's 100m,Bronze
CAN,KATZBERG Ethan,Athletics,Men's Hammer Throw,Gold
HUN,HALASZ Bence,Athletics,Men's Hammer Throw,Silver
UKR,KOKHAN Mykhaylo,Athletics,Men's Hammer Throw,Bronze
UKR,MAHUCHIKH Yaroslava,Athletics,Women's High Jump,Gold
AUS,OLYSLAGERS Nicola,Athletics,Women's High Jump,Silver
UKR,GERASHCHENKO Iryna,Athletics,Women's High Jump,Bronze
AUS,PATTERSON Eleanor,Athletics,Women's High Jump,Bronze
INA,TUNJUNG Gregoria Mariska,Badminton,Women's Singles,Bronze
DOM,ALCANTARA REYES Yunior,Boxing,Men's 51kg,Bronze
CPV,de PINA David,Boxing,Men's 51kg,Bronze
CAN,SANFORD Wyatt,Boxing,Men's 63.5kg,Bronze
GEO,GURULI Lasha,Boxing,Men's 63.5kg,Bronze
DOM,PINALES Cristian Javier,Boxing,Men's 80kg,Bronze
CUB,LOPEZ CARDONA Arlen,Boxing,Men's 80kg,Bronze
ESP,REYES PLA Enmanuel,Boxing,Men's 92kg,Bronze
TJK,BOLTAEV Davlat,Boxing,Men's 92kg,Bronze
PRK,PANG Cholmi,Boxing,Women's 54kg,Bronze
KOR,IM Aeji,Boxing,Women's 54kg,Bronze
USA,FAULKNER Kristen,Cycling Road,Women's Road Race,Gold
NED,VOS Marianne,Cycling Road,Women's Road Race,Silver
BEL,KOPECKY Lotte,Cycling Road,Women's Road Race,Bronze
GER,von BREDOW-WERNDL Jessica,Equestrian,Dressage Individual,Gold
GER,WERTH Isabell,Equestrian,Dressage Individual,Silver
GBR,FRY Charlotte,Equestrian,Dressage Individual,Bronze
USA,SCHEFFLER Scottie,Golf,Men's Individual Stroke Play,Gold
GBR,FLEETWOOD Tommy,Golf,Men's Individual Stroke Play,Silver
JPN,MATSUYAMA Hideki,Golf,Men's Individual Stroke Play,Bronze
CHI,CROVETTO CHADID Francisca,Shooting,Skeet Women,Gold
GBR,RUTTER Amber Jo,Shooting,Skeet Women,Silver
USA,SMITH Austen Jewell,Shooting,Skeet Women,Bronze
USA,FINKE Bobby,Swimming,Men's 1500m Freestyle,Gold
ITA,PALTRINIERI Gregorio,Swimming,Men's 1500m Freestyle,Silver
IRL,WIFFEN Daniel,Swimming,Men's 1500m Freestyle,Bronze
SWE,SJOESTROEM Sarah,Swimming,Women's 50m Freestyle,Gold
AUS,HARRIS Meg,Swimming,Women's 50m Freestyle,Silver
CHN,ZHANG Yufei,Swimming,Women's 50m Freestyle,Bronze
CHN,FAN Zhendong,Table Tennis,Men's Singles,Gold
SWE,MOREGARD Truls,Table Tennis,Men's Singles,Silver
FRA,LEBRUN Felix,Table Tennis,Men's Singles,Bronze
SRB,DJOKOVIC Novak,Tennis,Men's Singles,Gold
ESP,ALCARAZ Carlos,Tennis,Men's Singles,Silver
JPN,OKA Shinnosuke,Artistic Gymnastics,Men's Horizontal Bar,Gold
COL,BARAJAS Angel,Artistic Gymnastics,Men's Horizontal Bar,Silver
CHN,ZHANG Boheng,Artistic Gymnastics,Men's Horizontal Bar,Bronze
TPE,TANG Chia-Hung,Artistic Gymnastics,Men's Horizontal Bar,Bronze
CHN,ZOU Jingyuan,Artistic Gymnastics,Men's Parallel Bars,Gold
UKR,KOVTUN Illia,Artistic Gymnastics,Men's Parallel Bars,Silver
JPN,OKA Shinnosuke,Artistic Gymnastics,Men's Parallel Bars,Bronze
ITA,D'AMATO Alice,Artistic Gymnastics,Women's Balance Beam,Gold
CHN,ZHOU Yaqin,Artistic Gymnastics,Women's Balance Beam,Silver
ITA,ESPOSITO Manila,Artistic Gymnastics,Women's Balance Beam,Bronze
BRA,ANDRADE Rebeca,Artistic Gymnastics,Women's Floor Exercise,Gold
USA,BILES Simone,Artistic Gymnastics,Women's Floor Exercise,Silver
ROU,BARBOSU Ana,Artistic Gymnastics,Women's Floor Exercise,Bronze
SWE,DUPLANTIS Armand,Athletics,Men's Pole Vault,Gold
USA,KENDRICKS Sam,Athletics,Men's Pole Vault,Silver
GRE,KARALIS Emmanouil,Athletics,Men's Pole Vault,Bronze
KEN,CHEBET Beatrice,Athletics,Women's 5000m,Gold
KEN,KIPYEGON Faith,Athletics,Women's 5000m,Silver
NED,HASSAN Sifan,Athletics,Women's 5000m,Bronze
GBR,HODGKINSON Keely,Athletics,Women's 800m,Gold
ETH,DUGUMA Tsige,Athletics,Women's 800m,Silver
KEN,MORAA Mary,Athletics,Women's 800m,Bronze
USA,ALLMAN Valarie,Athletics,Women's Discus Throw,Gold
CHN,FENG Bin,Athletics,Women's Discus Throw,Silver
CRO,ELKASEVIC Sandra,Athletics,Women's Discus Throw,Bronze
DEN,AXELSEN Viktor,Badminton,Men's Singles,Gold
THA,VITIDSARN Kunlavut,Badminton,Men's Singles,Silver
MAS,LEE Zii Jia,Badminton,Men's Singles,Bronze
KOR,AN Se Young,Badminton,Women's Singles,Gold
CHN,HE Bing Jiao,Badminton,Women's Singles,Silver
NZL,BUTCHER Finn,Canoe Slalom,Men's Kayak Cross,Gold
GBR,CLARKE Joseph,Canoe Slalom,Men's Kayak Cross,Silver
GER,HEGGE Noah,Canoe Slalom,Men's Kayak Cross,Bronze
AUS,FOX Noemie,Canoe Slalom,Women's Kayak Cross,Gold
FRA,HUG Angele,Canoe Slalom,Women's Kayak Cross,Silver
GBR,WOODS Kimberley,Canoe Slalom,Women's Kayak Cross,Bronze
CHN,LI Yuehong,Shooting,25m Rapid Fire Pistol Men,Gold
KOR,CHO Yeongjae,Shooting,25m Rapid Fire Pistol Men,Silver
CHN,WANG Xinjie,Shooting,25m Rapid Fire Pistol Men,Bronze
FRA,VAAST Kauli,Surfing,Men,Gold
AUS,ROBINSON Jack,Surfing,Men,Silver
BRA,MEDINA Gabriel,Surfing,Men,Bronze
USA,MARKS Caroline,Surfing,Women,Gold
BRA,WESTON-WEBB Tatiana,Surfing,Women,Silver
FRA,DEFAY Johanne,Surfing,Women,Bronze
USA,HOCKER Cole,Athletics,Men's 1500m,Gold
GBR,KERR Josh,Athletics,Men's 1500m,Silver
USA,NUGUSE Yared,Athletics,Men's 1500m,Bronze
